年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2005 赛季,6,208,469,,,137,173,74,156,584,230,92,45,15,78,156
2004 赛季,5,192,431,,,98,123,65,115,511,180,101,31,20,56,129
2003 赛季,12,423,995,,,226,298,131,397,1142,528,274,113,44,172,253
2002 赛季,12,471,1026,,,272,350,154,378,1295,532,271,90,57,161,276
2001 赛季,16,591,1319,,,355,479,207,522,1617,729,330,120,75,236,381
2000 赛季,8,277,688,,,187,229,121,260,781,381,134,65,42,133,194
1999 赛季,5,168,405,,,113,150,59,147,482,206,84,34,18,60,110
1998 赛季,5,162,398,,,98,132,64,143,453,207,91,53,22,89,119
