年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2015 赛季,7,223,563,40,130,146,174,50,208,632,258,95,40,23,66,122
2013 赛季,4,135,301,31,85,67,94,33,126,368,159,79,17,18,60,81
2009 赛季,4,125,282,,,73,102,34,112,342,146,81,22,18,62,107
