年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2017 赛季,5,46.0,41.3,72.8,8.6,36.6,101.6,45.2,22.4,5.0,3.2,12.6,18.2
2003 赛季,18,44.1,0.0,78.0,9.7,32.3,91.9,42.0,19.3,6.6,,15.0,
2002 赛季,6,46.3,0.0,80.6,8.8,33.3,100.5,42.2,22.0,6.8,,15.8,
2001 赛季,3,44.4,0.0,72.1,14.3,35.0,102.0,49.3,16.0,5.7,,15.7,
2000 赛季,4,38.7,0.0,81.4,11.0,31.5,82.0,42.5,18.5,7.5,,12.8,
1999 赛季,4,44.8,0.0,78.6,10.3,24.8,85.3,35.0,23.5,6.0,,11.8,
1998 赛季,4,39.6,0.0,76.7,14.3,29.3,80.5,43.5,18.8,6.5,,14.5,
1997 赛季,5,41.6,0.0,80.4,13.6,25.8,90.2,39.4,23.2,7.4,,14.0,
1996 赛季,3,45.1,0.0,74.1,14.0,24.7,99.7,38.7,24.0,7.7,,9.3,
